Points_0,Points_1,Points_2
-19.5328,-130.362,1204.39
-19.691,-129.817,1201.87
-17.6764,-154.533,1210.41
-17.6739,-154.409,1209.69
-18.0834,-153.931,1214.43
-17.6668,-153.406,1206.75
-19.0867,-152.287,1210.58
-18.3982,-153.42,1210.54
-18.4875,-153.228,1211.79
-18.7932,-152.496,1213.44
-18.7809,-152.549,1214.81
-18.5088,-153.177,1214.19
-18.3834,-152.981,1215.22
-18.3071,-152.881,1216.19
-17.9129,-153.826,1215.83
-17.6581,-153.815,1217.01
-18.9182,-152.164,1213.86
-19.0013,-152.139,1214.58
-18.9627,-151.672,1215.45
-18.9251,-151.199,1216.57
-18.8038,-151.844,1215.81
-18.5455,-150.898,1218.22
-18.2044,-151.524,1219.12
-17.6008,-149.981,1201.71
-18.7873,-149.656,1203.18
-18.8823,-149.575,1218.77
-18.8497,-149.389,1219.28
-18.1238,-150.071,1220.44
-17.6271,-150.587,1221.54
-19.1428,-148.355,1202.62
-19.0319,-148.017,1202.01
-18.8317,-147.925,1220.34
-18.8447,-147.702,1220.58
-18.7207,-148.127,1220.52
-18.7137,-147.374,1220.85
-18.4749,-147.79,1221.04
-17.8294,-147.814,1222.68
-17.6631,-147.599,1223.01
-18.1781,-146.396,1222.28
-17.8606,-147.096,1222.82
-18.1586,-145.388,1222.79
-17.9611,-145.989,1223.07
-17.9473,-145.591,1223.4
-17.6623,-143.486,1210.23
-17.6574,-143.935,1212.15
-17.4854,-143.754,1213.8
-17.5515,-142.767,1213.52
-19.0155,-143.86,1221.3
-18.957,-143.354,1221.32
-18.7457,-144.132,1221.86
-18.6928,-142.954,1221.59
-18.1621,-144.055,1223.15
-18.2709,-143.395,1222.76
-17.7144,-142.734,1223.23
-17.8068,-143.977,1224.07
-17.695,-143.35,1224.08
-17.5589,-142.003,1207.47
-17.7445,-142.462,1210.61
-17.7334,-142.042,1212.28
-17.7203,-141.444,1211.01
-17.8448,-141.56,1213.54
-17.7654,-141.763,1214.87
-17.5447,-142.202,1214.42
-18.7366,-141.106,1215.8
-17.9454,-141.652,1216.17
-18.8602,-141.495,1217.63
-17.9561,-141.787,1217.57
-18.3174,-141.901,1219.46
-17.6626,-142.029,1219.48
-18.674,-142.29,1220.47
-18.5902,-141.058,1197.5
-18.9596,-139.553,1211.69
-18.4468,-140.178,1211.99
-18.3203,-139.747,1211.1
-17.974,-140.115,1210.92
-17.93,-140.968,1211.92
-17.7201,-140.661,1210.66
-18.9133,-140.187,1212.9
-18.306,-140.793,1213.07
-19.1279,-140.547,1214.37
-18.511,-140.869,1214.1
-18.4986,-138.257,1196.74
-19.1607,-138.062,1209.83
-17.9262,-138.749,1209.28
-19.091,-137.515,1197.18
-18.7225,-137.364,1196.78
-18.417,-136.662,1196.47
-18.5157,-137.568,1196.63
-18.5152,-137.342,1196.65
-18.1749,-137.443,1196.36
-17.5622,-137.232,1207.45
-17.7395,-136.152,1206.99
-18.5157,-136.969,1208.25
-18.4423,-134.972,1196.49
-18.566,-135.789,1207.41
-17.6026,-134.13,1195.76
-19.0921,-134.418,1197.22
-18.8848,-133.465,1197.17
-19.136,-134.11,1206.71
-17.9831,-134.51,1206.33
-18.6661,-131.85,1205.42
-17.8502,-132.074,1205.25
-19.0369,-130.574,1198.78
-18.4589,-130.526,1204.85
-18.701,-129.382,1199.31
-18.2691,-129.558,1198.37
-18.1098,-128.779,1198.8
-18.9878,-128.928,1200.98
-18.2761,-128.42,1199.64
-18.6817,-128.565,1203.41
-18.2923,-128.656,1203.98
-18.7438,-129.768,1204.45
-17.8341,-128.106,1199.1
-17.5279,-126.787,1200.7
-16.8827,-155.582,1209.95
-17.071,-155.561,1213.84
-16.367,-156.367,1215.21
-16.4802,-156.192,1214.62
-16.4079,-156.147,1216.76
-16.1054,-156.578,1215.83
-16.6462,-155.674,1217.79
-16.4545,-156.138,1217.39
-16.1619,-156.613,1217.21
-16.0421,-156.642,1217.98
-15.871,-156.458,1218.66
-16.1902,-155.051,1206.08
-17.5687,-154.314,1208.64
-17.5177,-154.615,1214.82
-17.0015,-155.392,1215.62
-17.1076,-154.934,1216.98
-17.2741,-154.028,1218.61
-17.2072,-154.573,1217.76
-17.4423,-152.414,1220.06
-16.7281,-152.548,1221.9
-16.5129,-150.752,1200.84
-16.1968,-151.8,1201.6
-17.2802,-151.848,1203.13
-16.4256,-150.841,1223.83
-16.1724,-149.402,1205.81
-16.223,-149.237,1213.57
-16.1158,-149.2,1214.93
-17.0517,-150.047,1223.08
-16.5904,-149.706,1224
-16.4944,-149.148,1224.51
-16.286,-147.771,1204.2
-16.7843,-147.749,1205.8
-16.5696,-147.99,1205.2
-16.0409,-148.766,1204.61
-16.553,-148.635,1206.42
-16.3193,-148.972,1209.29
-16.7528,-147.61,1214.03
-17.4072,-148.35,1223.18
-17.2576,-147.854,1223.56
-16.7476,-147.358,1205.21
-16.9031,-147.082,1205.78
-16.8435,-146.601,1205.16
-16.5217,-147.007,1204.28
-16.9319,-147.258,1206.54
-16.8605,-147.226,1210.05
-16.9896,-146.959,1211.25
-16.9705,-147.176,1212.56
-17.0243,-146.619,1213.87
-16.7085,-146.861,1215.76
-16.3845,-146.386,1217.58
-16.9336,-145.045,1204.96
-17.0937,-144.492,1205.85
-17.0196,-145.542,1209.07
-17.2735,-144.956,1214.47
-16.9861,-145.371,1215.95
-15.9374,-144.831,1219.42
-16.2392,-144.717,1226.68
-17.0787,-143.495,1197
-16.0725,-142.979,1201.2
-16.7186,-144.104,1203.62
-17.3261,-142.667,1205.64
-17.1358,-142.883,1204.61
-17.3766,-143.248,1206.79
-17.0859,-143.152,1215.75
-16.9541,-142.922,1217.15
-16.3214,-143.848,1218.72
-16.3005,-143.181,1219.54
-16.1002,-142.763,1221.33
-16.5563,-143.384,1226.32
-16.7051,-142.952,1225.77
-16.3727,-142.563,1225.8
-16.6105,-141.283,1195.78
-15.9959,-141.222,1200.44
-16.6747,-141.959,1202.45
-16.4834,-142.588,1202.08
-16.3857,-141.943,1201.56
-16.3064,-141.137,1201.19
-17.1205,-141.577,1204.15
-16.9289,-142.573,1203.56
-17.4939,-141.166,1206.53
-17.5218,-141.384,1207.85
-17.3065,-142.278,1218
-17.3389,-142.45,1223.19
-16.8893,-142.311,1222.99
-16.3338,-142.474,1222.02
-16.5468,-141,1201.95
-16.3534,-140.328,1201.45
-17.0716,-139.976,1204.04
-17.3485,-140.43,1205.35
-17.3609,-139.978,1205.85
-17.4787,-140.784,1206.84
-17.3041,-139.89,1207.49
-16.5333,-139.14,1202.57
-16.0983,-137.887,1202.04
-16.9056,-138.81,1203.72
-16.6053,-138.016,1203.19
-17.1844,-139.058,1205.83
-17.0791,-138.916,1204.43
-17.1949,-138.937,1206.98
-17.1963,-137.991,1207.03
-17.4106,-138.977,1208.33
-17.3152,-139.418,1208.11
-16.2879,-137.335,1202.73
-16.4767,-137.269,1203.36
-16.9962,-137.75,1206.2
-17.041,-136.382,1206.21
-16.7348,-135.143,1195
-16.5294,-134.987,1205.2
-16.4599,-136.042,1204.92
-17.2662,-135.103,1206.06
-16.7419,-133.102,1205.02
-16.1308,-133.728,1204.63
-17.3869,-132.829,1195.79
-16.5216,-132.961,1194.99
-16.279,-131.555,1204.44
-17.389,-131.438,1196.19
-17.5646,-130.749,1204.77
-16.7569,-130.804,1204.53
-17.1619,-129.627,1196.84
-17.1693,-128.726,1197.51
-17.4737,-128.364,1204.15
-17.1074,-129.559,1204.41
-16.7818,-127.571,1197.85
-16.0906,-127.581,1196.95
-16.8199,-126.795,1198.86
-16.3134,-126.738,1198.04
-16.2123,-127.918,1204.05
-16.4965,-125.997,1199.21
-16.1177,-125.841,1198.79
-16.8949,-126.332,1199.92
-16.5237,-125.782,1199.82
-16.4958,-125.562,1200.4
-16.2264,-125.204,1199.99
-17.4212,-126.426,1201.78
-16.8124,-125.675,1202.43
-16.6492,-125.9,1203.22
-16.2671,-125.985,1203.62
-14.4809,-158.949,1213.19
-15.3055,-157.31,1209.19
-14.9638,-158.041,1210.85
-15.7353,-157.405,1213.82
-15.1648,-158.164,1213.42
-15.132,-158.127,1213.15
-15.6156,-157.381,1215.06
-15.4817,-157.549,1214.4
-15.471,-157.492,1216.99
-15.1542,-157.762,1216.53
-15.1569,-157.8,1217.79
-15.1245,-157.355,1219.57
-15.0328,-156.115,1205.53
-15.8489,-155.752,1206.76
-15.8302,-156.376,1208.12
-15.9118,-156.81,1216.61
-15.5083,-156.512,1220.37
-15.0625,-155.908,1222.38
-14.8571,-155.714,1223.19
-14.2059,-156.322,1223.71
-14.4369,-153.921,1213.61
-14.8184,-154.556,1224.53
-14.9075,-153.699,1224.86
-14.4307,-154.94,1225
-15.3829,-153.383,1202.03
-14.9783,-152.526,1208.82
-14.831,-153.07,1210.45
-15.2682,-152.339,1212.82
-14.8858,-153.136,1212.26
-15.446,-152.076,1200.81
-14.4307,-151.607,1205.12
-15.6764,-150.91,1207.23
-15.5847,-150.79,1206.29
-15.0844,-151.397,1206.06
-15.5403,-151.663,1210.64
-15.3629,-152.001,1209.54
-15.6974,-151.154,1212.64
-15.6309,-151.122,1214.18
-15.1812,-152.258,1214.23
-15.1509,-151.526,1216.22
-15.1853,-150.711,1217.31
-15.2331,-151.664,1225.67
-15.6568,-149.461,1198.98
-14.4463,-149.816,1202.97
-15.6219,-150.306,1205.55
-15.5752,-149.354,1204.32
-15.1599,-150.552,1204.96
-14.9286,-147.99,1202.02
-15.588,-147.83,1202.88
-15.1191,-148.618,1202.81
-15.7552,-148.538,1217.31
-14.9501,-148.98,1219.14
-14.5709,-146.232,1196.17
-15.8663,-146.218,1202.34
-15.2002,-146.941,1201.7
-15.8777,-147.334,1203.02
-15.3175,-147.409,1219.47
-15.02,-146.141,1220.96
-14.4642,-144.754,1222.56
-14.997,-145.156,1228.36
-14.5018,-143.477,1198.97
-15.5185,-143.491,1200.32
-15.1572,-143.599,1199.83
-15.4177,-144.192,1220.81
-15.5429,-142.643,1223.13
-15.1997,-143.543,1221.91
-14.9633,-143.15,1223.03
-14.5169,-143.923,1222.92
-15.0543,-142.616,1224.1
-15.7785,-142.784,1227.38
-15.6708,-143.243,1227.78
-15.1881,-142.755,1228.32
-14.7227,-143.207,1229.1
-14.4551,-141.856,1194.32
-15.4493,-142.603,1195.29
-14.947,-141.389,1198.65
-14.9168,-142.566,1199.02
-14.355,-142.185,1198.21
-15.8667,-142.177,1200.42
-15.6447,-141.536,1199.8
-15.4886,-142.38,1199.78
-15.7344,-142.449,1223.58
-15.1051,-142.281,1225.25
-15.7686,-142.536,1227.06
-15.167,-142.135,1227.04
-14.4622,-141.966,1227.25
-14.915,-142.366,1228.4
-14.3522,-140.962,1197.82
-15.384,-140.714,1199.2
-15.5118,-139.763,1199.44
-15.1537,-139.544,1198.79
-14.8988,-140.12,1198.39
-15.9074,-140.564,1200.21
-15.4293,-139.284,1194.41
-15.4439,-138.285,1194.26
-14.9171,-138.754,1194.07
-14.7095,-138.209,1193.95
-15.1797,-138.766,1199.01
-14.7813,-138.223,1198.4
-14.6117,-139.123,1197.99
-15.7016,-139.153,1200.09
-15.1013,-137.391,1194.07
-14.6586,-137.144,1193.75
-14.6987,-137.191,1198.71
-15.098,-136.323,1200.51
-15.3221,-135.092,1194.12
-14.5205,-134.977,1193.54
-15.4453,-135.17,1202.51
-15.3024,-135.585,1201.42
-15.72,-133.173,1194.46
-15.0795,-133.435,1193.94
-14.5634,-134.074,1200.21
-14.6645,-133.324,1201.72
-15.8154,-134.151,1204.23
-15.2709,-133.663,1203.36
-15.9046,-131.976,1194.77
-15.2709,-131.545,1194.34
-15.1048,-132.425,1194.04
-14.7035,-132.978,1193.74
-14.3203,-132.972,1200.21
-15.5592,-131.941,1204.02
-15.1581,-132.047,1203.62
-14.6827,-130.308,1194.19
-15.832,-130.488,1195.13
-15.3673,-130.203,1203.83
-14.7507,-130.366,1203.38
-14.4345,-130.567,1202.98
-14.8758,-129.383,1194.72
-14.4985,-129.769,1194.25
-15.7377,-128.499,1195.96
-15.2968,-129.596,1195.06
-14.7028,-128.275,1195.11
-15.7339,-128.833,1203.97
-14.7217,-128.771,1203.54
-14.5912,-127.593,1203.61
-15.8143,-126.365,1197.56
-15.7301,-125.666,1198.22
-15.4616,-125.996,1203.83
-15.7986,-124.977,1199.6
-15.886,-124.593,1200.59
-15.072,-123.926,1199.75
-15.2649,-123.96,1200.62
-15.9532,-124.672,1201.41
-15.706,-124.365,1202.2
-15.4983,-123.999,1201.4
-15.438,-123.987,1201.97
-15.3092,-123.879,1202.22
-15.1338,-123.57,1202.02
-14.7342,-123.543,1202.92
-14.7377,-123.197,1201.76
-14.5672,-122.949,1201.15
-14.4725,-122.981,1202.37
-12.9375,-160.237,1212.53
-12.6853,-160.582,1214.62
-13.2441,-159.711,1210.7
-14.3536,-159.069,1213.41
-14.2126,-159.009,1212.72
-14.3404,-158.922,1213.83
-14.0954,-159.274,1213.01
-13.8982,-159.548,1213.2
-13.3712,-159.961,1213.4
-13.2891,-160.076,1212.98
-14.2864,-159.001,1214.64
-13.2838,-159.952,1214
-14.2788,-158.757,1216.11
-13.7226,-159.437,1216.61
-13.1762,-159.98,1215.63
-13.8182,-158.975,1219.37
-13.4316,-158.757,1221.46
-12.9043,-158.32,1205.59
-14.1884,-158.066,1207.84
-13.9456,-157.145,1223.43
-13.8293,-157.073,1223.66
-12.855,-158.595,1223.57
-14.0836,-155.533,1203.04
-13.8113,-156.658,1204.28
-13.1086,-155.423,1209.86
-13.0033,-155.962,1214.08
-12.8986,-155.879,1217.31
-14.3289,-155.655,1224.29
-14.2102,-155.578,1224.83
-13.7785,-156.379,1224.62
-13.5445,-156.424,1225.22
-13.6239,-156.139,1225.4
-12.967,-157,1225.59
-12.9274,-156.8,1225.82
-13.0732,-156.133,1226.48
-12.911,-153.723,1199.8
-14.2184,-154.488,1201.84
-12.948,-155.356,1208.78
-13.7862,-154.92,1212.69
-14.0245,-154.444,1215.11
-13.6365,-155.181,1214.66
-13.5182,-154.649,1217.59
-12.9954,-155.354,1218.42
-13.177,-154.389,1219.54
-12.8127,-154.334,1220.76
-13.7977,-155.292,1225.76
-13.772,-154.514,1226.58
-13.1103,-154.482,1227.57
-14.1499,-153.886,1201.27
-13.7271,-153.467,1206.95
-13.9786,-153.18,1218.57
-14.2762,-152.335,1218.74
-13.5298,-153.356,1219.98
-13.8463,-152.212,1220.35
-13.4286,-152.578,1221.22
-13.1342,-153.355,1221.16
-13.0119,-152.983,1221.78
-13.8467,-153.696,1226.95
-13.8829,-152.781,1227.15
-13.6287,-151.427,1198.5
-13.6697,-150.885,1203.04
-13.3036,-151.895,1221.89
-14.0608,-151.346,1227.57
-14.1158,-149.326,1202.04
-12.8366,-150.367,1201.55
-14.2261,-147.695,1200.98
-13.3079,-148.78,1200.72
-13.0915,-147.658,1199.83
-14.1975,-148.905,1221.47
-13.2704,-147.428,1224
-13.476,-145.851,1224.34
-13.4698,-144.406,1224.62
-13.2293,-142.649,1193.82
-13.9105,-143.318,1198.28
-13.643,-142.996,1225.48
-13.3259,-143.779,1225.17
-13.3224,-143.158,1230.82
-12.8354,-143.193,1231.38
-12.9305,-142.933,1231.38
-13.8973,-141.735,1197.59
-13.4131,-142.836,1197.63
-12.9887,-141.673,1196.89
-14.2868,-142.1,1226.63
-13.5498,-142.347,1226.67
-13.3925,-141.792,1228.03
-13.8436,-142.126,1229.87
-13.65,-141.682,1228.47
-13.614,-141.65,1229.46
-13.424,-142.584,1230.72
-12.9759,-142.583,1231.4
-12.8883,-141.233,1230.27
-12.7447,-141.954,1231.62
-13.85,-140.295,1193.63
-14.3044,-139.77,1197.61
-13.6946,-140.5,1197.1
-12.9128,-140.157,1196.47
-12.9393,-138.954,1196.31
-13.568,-138.277,1196.78
-13.0979,-137.766,1196.34
-12.9169,-136.603,1196.3
-14.2262,-137.77,1197.61
-13.8425,-136.384,1197.44
-13.5223,-137.494,1196.77
-13.4511,-136.211,1196.95
-13.7262,-134.734,1193
-13.1612,-134.979,1192.65
-14.1042,-134.787,1193.31
-13.8884,-135.866,1193.18
-13.9882,-133.936,1193.23
-13.5241,-133.401,1192.9
-13.8956,-133.932,1198.72
-14.3264,-132.41,1193.59
-13.0921,-132.836,1197.84
-13.9687,-132.621,1199.25
-13.7968,-131.925,1199.2
-13.6536,-132.38,1198.79
-13.9696,-131.972,1199.86
-13.4622,-131.447,1193.09
-14.1425,-130.149,1193.88
-13.9242,-130.55,1193.61
-13.9263,-129.965,1193.8
-13.3524,-129.864,1193.35
-13.3998,-130.758,1199.29
-13.262,-131.079,1198.76
-12.784,-129.974,1198.81
-13.7379,-130.47,1200.99
-14.2962,-131.225,1202.36
-14.1307,-129.773,1194.05
-14.1182,-129.305,1194.21
-12.9574,-128.947,1200.6
-13.5392,-129.444,1201.81
-13.4487,-128.624,1202.4
-14.08,-128.733,1203.11
-13.8946,-127.743,1194.76
-13.3239,-127.492,1194.33
-12.8452,-128.161,1201.63
-12.8974,-127.511,1202.4
-13.8179,-127.066,1203.37
-13.1538,-127.198,1202.88
-13.9636,-125.411,1196.31
-12.9563,-125.587,1195.16
-13.963,-125.972,1203.64
-12.764,-124.986,1203.46
-13.6014,-123.319,1198.03
-14.2722,-122.589,1201.99
-13.9921,-122.409,1202.4
-13.7133,-121.981,1201.94
-13.4796,-121.968,1202.59
-13.3507,-122.073,1202.99
-12.9807,-122.577,1203.6
-13.0865,-122.141,1203.32
-12.8463,-121.695,1199.47
-13.1303,-121.525,1202.2
-12.9219,-121.321,1201.73
-12.2753,-160.369,1209.7
-12.2369,-160.971,1213
-12.0169,-161.057,1213.6
-12.0566,-160.996,1215.88
-11.6096,-161.428,1216.74
-11.728,-160.016,1207.14
-12.1512,-159.743,1222.9
-12.0675,-158.859,1224.74
-11.4812,-159.187,1225.59
-11.4398,-158.791,1226.02
-11.3445,-157.141,1201.71
-12.2059,-158.197,1204.28
-11.2672,-157.505,1210.21
-11.2075,-157.731,1216.88
-11.469,-157.361,1218.43
-12.1592,-158.21,1225.54
-11.8799,-158.03,1226.28
-11.389,-158.343,1227.05
-12.2489,-155.933,1208.01
-11.923,-156.487,1208.64
-11.7263,-156.33,1207.74
-11.1357,-157.105,1208.49
-12.4126,-156.367,1210.56
-12.1557,-156.506,1209.6
-12.6285,-156.337,1216.51
-12.4842,-156.415,1217.46
-12.57,-155.977,1218.56
-12.1876,-156.558,1218.4
-12.5692,-155.57,1219.42
-12.0712,-156.416,1219.18
-11.6121,-156.537,1220.19
-12.2477,-155.53,1220.41
-12.0728,-156.437,1227.96
-11.444,-154.665,1204.56
-12.6724,-154.966,1207.05
-12.6727,-154.957,1220.21
-12.5193,-154.278,1221.5
-12.4825,-154.778,1220.97
-12.0244,-155.069,1221.49
-11.9765,-152.683,1202.96
